prd_id,prd_updated,prdcc_updated
PRD_002357,N,N
PRD_002359,N,N
PRD_002360,N,N
PRD_002363,Y,Y
PRD_002365,Y,Y
PRD_002366,N,Y
PRD_002369,Y,Y
PRD_002370,N,N
PRD_002372,N,Y
PRD_002373,N,N
PRD_002375,N,Y
PRD_002379,N,Y
PRD_002381,N,Y
PRD_002383,N,Y
PRD_002384,N,Y
PRD_002385,N,Y
PRD_002390,Y,Y
PRD_002391,Y,Y
PRD_002392,Y,Y
PRD_002393,N,Y
PRD_002394,Y,Y
PRD_002399,N,Y
PRD_002411,N,Y
PRD_002412,N,Y
PRD_002413,N,Y
PRD_002419,N,Y
PRD_002430,N,Y
PRD_002435,Y,Y
PRD_002449,N,Y
PRD_002450,N,Y
PRD_002451,N,Y
PRD_002455,N,N
PRD_002456,Y,Y
PRD_002460,N,Y
PRD_002464,N,Y
PRD_002466,N,N
PRD_002467,Y,Y
PRD_002468,N,Y
PRD_002479,N,Y
PRD_002482,Y,Y
PRD_002489,Y,Y
PRD_002490,N,Y
PRD_002498,N,Y
PRD_002510,Y,Y
PRD_002512,N,N
PRD_002513,N,N
PRD_002514,N,N
PRD_002515,N,N
PRD_002517,N,N
PRD_002518,Y,Y
PRD_002519,Y,Y
PRD_002521,Y,Y
PRD_002523,Y,Y
PRD_002524,Y,Y
PRD_002525,N,N
PRD_002528,N,Y
